Movement_Date,GLN_Code,EAN_Code,Base_Unit_Code,Stock,Transit,Shipped,OOS
8/19/2020,4080398539419,4790685525450,9500188106,8822,1728,240,0
8/19/2020,4080398539419,4790685525424,9500105764,9680,0,0,0
8/19/2020,4080398539419,4790685663501,9500167987,7958,0,0,0
8/19/2020,4080398539419,4790685695486,9500350606,2664,0,60,0
8/19/2020,4080398539419,4790685265505,9505057956,160,0,0,0
8/20/2020,4080398539419,4790685000310,9500188105,54378,0,1128,0
8/20/2020,4080398539419,4790685000555,9500188108,20953,0,120,0
8/20/2020,4080398539419,4790685000884,9500959798,29334,1728,1008,0
8/20/2020,4080398539419,4790685001034,9500704337,2088,0,0,0
8/20/2020,4080398539419,4790685003515,9500704336,7272,0,48,0
8/20/2020,4080398539419,4790685004561,9500739441,1245,3024,81,0
8/20/2020,4080398539419,4790685004528,9500736916,1567,0,54,0
8/20/2020,4080398539419,4790685004585,9500736917,415,0,171,0
8/20/2020,4080398539419,4790685004622,9500736917,1278,0,0,0
8/20/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/20/2020,4080398539419,4790685006551,9500733337,648,0,24,0
8/20/2020,4080398539419,4790685006800,9500738679,1619,0,0,0
8/20/2020,4080398539419,4790685002420,9500777987,3864,0,168,0
8/20/2020,4080398539419,4790685009313,9500753387,45557,13392,4032,0
8/20/2020,4080398539419,4790685010814,9500754147,3691,0,99,0
8/20/2020,4080398539419,4790685019550,9500306461,333,990,54,0
8/20/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/20/2020,4080398539419,4790685053558,9500305897,85418,0,260,0
8/20/2020,4080398539419,4790685054163,9500318810,0,342,0,36
8/20/2020,4080398539419,4790685054484,9500395894,197,24,0,0
8/20/2020,4080398539419,4790685054551,9500395895,3672,0,0,0
8/20/2020,4080398539419,4790685043992,9500765956,802,945,108,0
8/20/2020,4080398539419,4790685500508,9500188046,16207,0,192,0
8/20/2020,4080398539419,4790685500406,9500188101,102,0,0,0
8/20/2020,4080398539419,4790685508050,9500184495,31321,0,160,0
8/20/2020,4080398539419,4790685551453,9500188950,10873,0,48,0
8/20/2020,4080398539419,4790685402052,9500188107,11022,0,1056,0
8/20/2020,4080398539419,4790685402501,9500184411,1790,800,360,0
8/20/2020,4080398539419,4790685430544,9500750956,87995,20736,16104,0
8/20/2020,4080398539419,4790685483151,1011075037,5931,0,27,0
8/20/2020,4080398539419,4790685483425,9500184418,18141,11200,160,0
8/20/2020,4080398539419,4790685483200,9500188110,31756,0,144,0
8/20/2020,4080398539419,4790685552456,9500773538,3140,0,97,0
8/20/2020,4080398539419,4790685552500,9505073046,1061,1200,940,0
8/20/2020,4080398539419,4790685525450,9500188106,8822,6912,0,0
8/20/2020,4080398539419,4790685525424,9500105764,9620,0,60,0
8/20/2020,4080398539419,4790685663501,9500167987,7958,0,0,0
8/20/2020,4080398539419,4790685695486,9500350606,2624,0,40,0
8/20/2020,4080398539419,4790685265505,9505057956,160,0,0,0
